address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
20-pedersen-avenue-reservoir-vic-3073,Reservoir,663000,27-Feb-2021,3,1,3,587,m2,House,https://www.domain.com.au/20-pedersen-avenue-reservoir-vic-3073-2016744066,Air conditioning*-Built in wardrobes*-Internal Laundry*-Heating*-Garden*,1-2.6-1.3,3,Feb/2021/663000.0/SOLD-Dec/2008/360.0/SOLD,1
12-titus-court-reservoir-vic-3073,Reservoir,755000,27-Feb-2021,3,2,2,760,m2,House,https://www.domain.com.au/12-titus-court-reservoir-vic-3073-2016750029,Built in wardrobes*-Heating*-Garden*,0.7-2.1-0.7,3,Feb/2021/755000.0/SOLD,1
13-crevelli-street-reservoir-vic-3073,Reservoir,791000,27-Feb-2021,3,1,3,625,m2,House,https://www.domain.com.au/13-crevelli-street-reservoir-vic-3073-2016769350,Secure Parking*-Shed*-Garden*,0.3-1-5.2,3,Feb/2021/791000.0/SOLD-Dec/1989/103000.0/SOLD-May/1982/31500.0/SOLD,0
19-don-street-reservoir-vic-3073,Reservoir,850000,26-Feb-2021,3,1,4,597,m2,House,https://www.domain.com.au/19-don-street-reservoir-vic-3073-2016788855,Internal Laundry*-Secure Parking*-Heating*-Garden*,0.8-1.9-1,3,Feb/2021/850000.0/SOLD-Oct/1976/51300.0/SOLD,0
14-mendip-road-reservoir-vic-3073,Reservoir,1310000,25-Feb-2021,3,1,5,714,m2,House,https://www.domain.com.au/14-mendip-road-reservoir-vic-3073-2016761101,Secure Parking*-Garden*-Air conditioning-Heating-Close to transport-Close to shops-Close to schools-Carpeted-Openable Windows,0.6-1.2-5.1,3,Feb/2021/1310000.0/SOLD-Jul/1993/128000.0/SOLD,0
41-tunaley-parade-reservoir-vic-3073,Reservoir,780000,14-Feb-2021,3,1,6,586,m2,House,https://www.domain.com.au/41-tunaley-parade-reservoir-vic-3073-2016709035,Internal Laundry*-Secure Parking*-Garden*,1.1-2.3-1.1,3,Feb/2021/780000.0/SOLD,0
19-wellman-street-reservoir-vic-3073,Reservoir,840000,06-Feb-2021,3,1,2,570,m2,House,https://www.domain.com.au/19-wellman-street-reservoir-vic-3073-2016672411,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*,0.5-0.6-7.4,3,Feb/2021/840000.0/SOLD,1
1-merrilands-road-reservoir-vic-3073,Reservoir,83500,06-Feb-2021,3,1,3,762,m2,House,https://www.domain.com.au/1-merrilands-road-reservoir-vic-3073-2016708617,Heating*-Garden*-Close to schools-Close to shops-Close to transport,0.6-0.6-7.8,3,Feb/2021/400.0/SOLD,0
54-hickford-street-reservoir-vic-3073,Reservoir,1050000,06-Feb-2021,3,1,5,892,m2,House,https://www.domain.com.au/54-hickford-street-reservoir-vic-3073-2016663817,Garden*-Study,0.3-1.9-0.5,3,Feb/2021/1050000.0/SOLD,0
2-arbor-avenue-reservoir-vic-3073,Reservoir,955000,22-Jan-2021,3,1,1,466,m2,House,https://www.domain.com.au/2-arbor-avenue-reservoir-vic-3073-2016657323,Shed*-Garden*-Balcony / Deck*,0.1-2.5-4.6,3,Jan/2021/955000.0/SOLD-Apr/1996/87000.0/SOLD-Sep/1987/83000.0/SOLD,0
3-nisbett-street-reservoir-vic-3073,Reservoir,580000,08-Jan-2021,3,1,2,434,m2,House,https://www.domain.com.au/3-nisbett-street-reservoir-vic-3073-2016378230,Heating*-Garden*,0.8-0.9-5.8,3,Dec/2020/580000.0/SOLD-Jun/2014/360000.0/SOLD,0
55-fordham-road-reservoir-vic-3073,Reservoir,825000,23-Dec-2020,3,2,2,643,m2,House,https://www.domain.com.au/55-fordham-road-reservoir-vic-3073-2016679773,Gas*-Heating*-Secure Parking-Deck-Outdoor Entertaining-Open Spaces-Gas Heating-Workshop-Split System Heating-Floorboards-Split System AirCon-Built in wardrobes-Dishwasher-Ducted Heating-Alarm System-Ensuite,0.8-1.2-0.3,3,Dec/2020/825000.0/SOLD-Aug/2011/525000.0/SOLD-Oct/1995/89000.0/SOLD,1
6-sims-street-reservoir-vic-3073,Reservoir,760000,22-Dec-2020,3,1,3,808,m2,House,https://www.domain.com.au/6-sims-street-reservoir-vic-3073-2016616018,Air conditioning*-Secure Parking*-Heating*-Study*-Garden*,0.7-0.7-7.3,3,Dec/2020/760000.0/SOLD-Mar/1997/130000.0/SOLD-Mar/1984/70700.0/SOLD,0
37-crookston-road-reservoir-vic-3073,Reservoir,972000,16-Dec-2020,3,1,4,892,m2,House,https://www.domain.com.au/37-crookston-road-reservoir-vic-3073-2016667804,Built in wardrobes*-Internal Laundry*-Heating*-Shed*-Garden*-Close to schools-Close to shops-Close to transport,0.6-1.5-0.2,3,Dec/2020/480.0/SOLD-Oct/1980/971000.0/SOLD,1
44-kinsale-street-reservoir-vic-3073,Reservoir,1156500,12-Dec-2020,3,1,3,636,m2,House,https://www.domain.com.au/44-kinsale-street-reservoir-vic-3073-2016659298,Internal Laundry*-Fireplace(s)*-Heating*-Dishwasher*-Garden*,0.5-2.4-2.9,3,Dec/2020/1156500.0/SOLD-Sep/1991/133000.0/SOLD-Sep/1986/69700.0/SOLD,0
27-joffre-street-reservoir-vic-3073,Reservoir,1205000,12-Dec-2020,3,1,1,716,m2,House,https://www.domain.com.au/27-joffre-street-reservoir-vic-3073-2016632882,Gas*-Internal Laundry*-Secure Parking*-Garden*,0.3-1.5-1.7,3,Dec/2020/1205000.0/SOLD,0
