address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
62-belmar-avenue-altona-vic-3018,Altona,772000,14-Sep-2019,3,1,2,600,m2,House,https://www.domain.com.au/62-belmar-avenue-altona-vic-3018-2015526390,Floorboards-Heating-Garden / Courtyard,0.5-9.7-1.3,3,Sep/2019/772000.0/SOLD-Dec/2007/406000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3/212-queen-street-altona-vic-3018,Altona,745000,30-Jul-2019,3,1,3,170,m2,House,https://www.domain.com.au/3-212-queen-street-altona-vic-3018-2015250699,,0.5-1.2-10.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76-civic-parade-altona-vic-3018,Altona,830000,12-Jul-2019,3,2,2,313,m2,House,https://www.domain.com.au/76-civic-parade-altona-vic-3018-2015413524,Remote Garage-Secure Parking-Fully fenced-Built in wardrobes-Dishwasher-Ducted Heating-Floorboards-Study-Split-system Air-conditioning-Walk in Robe,0.4-1.7-9.7,3,Jul/2019/830000.0/SOLD-Aug/2015/740000.0/SOLD,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
12-robin-street-altona-vic-3018,Altona,880000,06-Jul-2019,3,1,3,639,m2,House,https://www.domain.com.au/12-robin-street-altona-vic-3018-2015303244,,1.3-10.8-1.5,3,Jul/2019/880000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-chifley-avenue-altona-vic-3018,Altona,896000,28-Jun-2019,3,1,3,531,m2,House,https://www.domain.com.au/27-chifley-avenue-altona-vic-3018-2015185548,Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Separate Dining,0.4-1.7-9.6,3,Jun/2019/896000.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
3-scullin-street-altona-vic-3018,Altona,900000,17-Jun-2019,3,1,1,534,m2,House,https://www.domain.com.au/3-scullin-street-altona-vic-3018-2015220817,Air conditioning-Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools,0.4-1.6-9.5,3,Jun/2019/900000.0/SOLD-Aug/2010/626000.0/SOLD,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30-railway-street-south-altona-vic-3018,Altona,800000,14-Jun-2019,3,1,5,511,m2,House,https://www.domain.com.au/30-railway-street-south-altona-vic-3018-2015285459,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking,0.6-1.7-10,3,May/2019/800000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
237-civic-parade-altona-vic-3018,Altona,775000,14-Jun-2019,3,1,6,592,m2,House,https://www.domain.com.au/237-civic-parade-altona-vic-3018-2015085660,Air conditioning-Close to transport-Close to shops-Close to schools-Toilet Facilities,0.2-9.9-0.9,3,May/2019/775000.0/SOLD,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
104-blyth-street-altona-vic-3018,Altona,895000,29-May-2019,3,1,4,700,m2,House,https://www.domain.com.au/104-blyth-street-altona-vic-3018-2015224383,Air conditioning-Close to transport-Close to shops-Close to schools,0.1-0.9-10.3,3,Aug/2020/890000.0/SOLD-May/2019/895000.0/SOLD-Jun/2013/645000.0/SOLD,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
169-maidstone-street-altona-vic-3018,Altona,765000,25-May-2019,3,2,2,373,m2,House,https://www.domain.com.au/169-maidstone-street-altona-vic-3018-2015186844,Polished Floorboards-Remote Garage-Air conditioning-Alarm System-Courtyard-Outdoor Ent.-Shed-Built in wardrobes-Dishwasher-Study,0.6-9.8-1.3,3,May/2019/765000.0/SOLD-Aug/2012/472500.0/SOLD-Sep/1988/53100.0/SOLD,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
