"suburb","2012-12-31","2013-12-31","2014-12-31","2015-12-31","2016-12-31","2017-12-31","2018-12-31","2019-12-31","2020-12-31","2021-01-31","2021-02-28","2021-03-31","2021-04-30","2021-05-31","2021-06-30","2021-07-31","2021-08-31","2021-09-30","2021-10-31","2020-11-30","2021/2012","2021/2013","2021/2014","2021/2015","2021/2016","2021/2017","2021/2018","2021/2019","2021/2020","2021-10/2021-09","2021-10/2021-08","2021-10/2021-07","2021-10/2021-06","2021-10/2021-05","2021-10/2021-04","2021-10/2021-03","2021-10/2021-02","2021-10/2021-01","2021-09/2021-08","2021-09/2021-07","2021-09/2021-06","2021-09/2021-05","2021-09/2021-04","2021-09/2021-03","2021-09/2021-02","2021-09/2021-01","2021-08/2021-07","2021-08/2021-06","2021-08/2021-05","2021-08/2021-04","2021-08/2021-03","2021-08/2021-02","2021-08/2021-01","2021-07/2021-06","2021-07/2021-05","2021-07/2021-04","2021-07/2021-03","2021-07/2021-02","2021-07/2021-01","2021-06/2021-05","2021-06/2021-04","2021-06/2021-03","2021-06/2021-02","2021-06/2021-01","2021-05/2021-04","2021-05/2021-03","2021-05/2021-02","2021-05/2021-01","2021-04/2021-03","2021-04/2021-02","2021-04/2021-01","2021-03/2021-02","2021-03/2021-01","2021-02/2021-01"
coburg,587250,625000,700500,757000,850077,975000,960000,925000,1092500,1096000,1092500,1090000,1087500,1110000,1115000,1125000,1130000,1157500,1162000,1084000,1.8944231587909748,1.78,1.5881513204853677,1.4696169088507265,1.3087049761374558,1.141025641025641,1.1588541666666667,1.2027027027027026,1.0183066361556063,1.0038876889848811,1.0283185840707965,1.032888888888889,1.042152466367713,1.0468468468468468,1.0685057471264368,1.0660550458715596,1.0636155606407323,1.0602189781021898,1.0243362831858407,1.028888888888889,1.0381165919282511,1.0427927927927927,1.064367816091954,1.061926605504587,1.0594965675057209,1.0561131386861313,1.0044444444444445,1.0134529147982063,1.018018018018018,1.0390804597701149,1.036697247706422,1.034324942791762,1.031021897810219,1.0089686098654709,1.0135135135135136,1.0344827586206897,1.0321100917431192,1.0297482837528604,1.0264598540145986,1.0045045045045045,1.025287356321839,1.0229357798165137,1.0205949656750573,1.0173357664233578,1.0206896551724138,1.018348623853211,1.0160183066361557,1.0127737226277371,0.9977064220183486,0.9954233409610984,0.9922445255474452,0.9977116704805492,0.9945255474452555,0.9968065693430657
croydon,444000,463000,520676,600000,680000,790764,777000,732000,770000,772250,777500,790000,794000,807500,825000,841500,850000,865000,882000,762400,1.8384009009009008,1.7629589632829374,1.5676735628298597,1.3604166666666666,1.2003676470588236,1.0322295906237513,1.0505148005148006,1.1150956284153006,1.0600649350649352,1.0196531791907515,1.0376470588235294,1.0481283422459893,1.069090909090909,1.0922600619195046,1.1108312342569269,1.1164556962025316,1.1344051446945338,1.1421171900291356,1.0176470588235293,1.0279263220439692,1.0484848484848486,1.0712074303405572,1.0894206549118388,1.0949367088607596,1.112540192926045,1.120103593395921,1.0101010101010102,1.0303030303030303,1.0526315789473684,1.070528967254408,1.0759493670886076,1.0932475884244373,1.1006798316607316,1.02,1.0421052631578946,1.059823677581864,1.0651898734177214,1.0823151125401929,1.0896730333441242,1.021671826625387,1.0390428211586902,1.0443037974683544,1.0610932475884245,1.068306895435416,1.0170025188916876,1.0221518987341771,1.0385852090032155,1.0456458400776951,1.0050632911392405,1.0212218649517686,1.0281644545160247,1.0160771704180065,1.022984784719974,1.0067983166073162
diamond creek,521350,537250,562755,580000,670000,757850,781250,750000,807500,810500,845500,862000,882500,917500,940000,950000,955000,972000,993500,770000,1.7814328186439052,1.7287110283852956,1.6503629465753302,1.6012931034482758,1.3861940298507462,1.2255063666952564,1.1888,1.2383333333333333,1.1501547987616099,1.022119341563786,1.0403141361256545,1.0457894736842106,1.0569148936170212,1.08283378746594,1.1257790368271954,1.152552204176334,1.1750443524541692,1.2257865515114128,1.0178010471204189,1.023157894736842,1.0340425531914894,1.0594005449591282,1.1014164305949008,1.1276102088167053,1.1496156120638676,1.1992597162245529,1.0052631578947369,1.0159574468085106,1.0408719346049047,1.0821529745042493,1.1078886310904872,1.1295091661738617,1.1782850092535473,1.0106382978723405,1.0354223433242506,1.0764872521246458,1.1020881670533642,1.1235955056179776,1.1721159777914867,1.0245231607629428,1.065155807365439,1.0904872389791183,1.1117681845062093,1.159777914867366,1.0396600566572238,1.064385150812065,1.085156712004731,1.1320172732880938,1.0237819025522041,1.0437610881135422,1.0888340530536706,1.0195150798344175,1.0635410240592227,1.0431832202344231
doreen,450000,415000,420000,433750,450000,551000,600500,598000,625000,626500,635000,650000,655000,663555,667750,680000,680000,680500,693500,620000,1.4792266666666667,1.6039807228915663,1.5848857142857142,1.5346443804034582,1.4792266666666667,1.2080798548094374,1.108496253122398,1.1131304347826088,1.0650432,1.0191036002939016,1.0198529411764705,1.0198529411764705,1.0385623362036691,1.045128135572786,1.0587786259541985,1.0669230769230769,1.0921259842519686,1.1069433359936154,1.000735294117647,1.000735294117647,1.0190939722950205,1.025536692512301,1.0389312977099237,1.0469230769230768,1.0716535433070866,1.0861931364724662,1.0,1.0183451890677648,1.0247831754715133,1.0381679389312977,1.0461538461538462,1.0708661417322836,1.085395051875499,1.0183451890677648,1.0247831754715133,1.0381679389312977,1.0461538461538462,1.0708661417322836,1.085395051875499,1.0063220079722104,1.0194656488549618,1.0273076923076923,1.0515748031496064,1.0658419792498004,1.01306106870229,1.0208538461538461,1.0449685039370078,1.059146049481245,1.0076923076923077,1.031496062992126,1.0454908220271348,1.0236220472440944,1.037509976057462,1.0135674381484436
dromana,458250,475000,490500,550000,575000,710000,785500,715000,766500,770000,800000,817500,837500,850000,865000,870000,880000,882000,944250,760000,1.8712493180578287,1.805263157894737,1.7482161060142711,1.559090909090909,1.491304347826087,1.2077464788732395,1.091661362189688,1.1993006993006994,1.1187214611872147,1.070578231292517,1.0730113636363636,1.085344827586207,1.0916184971098266,1.1108823529411764,1.1274626865671642,1.155045871559633,1.1803125,1.2262987012987012,1.0022727272727272,1.013793103448276,1.0196531791907515,1.0376470588235294,1.0531343283582089,1.0788990825688074,1.1025,1.1454545454545455,1.0114942528735633,1.0173410404624277,1.035294117647059,1.0507462686567164,1.0764525993883791,1.1,1.1428571428571428,1.0057803468208093,1.0235294117647058,1.0388059701492538,1.0642201834862386,1.0875,1.12987012987013,1.0176470588235293,1.0328358208955224,1.0581039755351682,1.08125,1.1233766233766234,1.0149253731343284,1.039755351681957,1.0625,1.103896103896104,1.0244648318042813,1.046875,1.0876623376623376,1.021875,1.0616883116883118,1.0389610389610389
essendon,910500,857500,936000,1199000,1377000,1401000,1500000,1438500,1462500,1458500,1450000,1485000,1525000,1560000,1600000,1608000,1660000,1670000,1675500,1450000,1.7353102690829214,1.8425655976676385,1.688034188034188,1.317764804003336,1.1474219317356573,1.1277658815132048,1.0533333333333332,1.0983663538408064,1.0803418803418803,1.0032934131736526,1.0093373493975903,1.0419776119402986,1.0471875,1.0740384615384615,1.0986885245901639,1.1282828282828283,1.1555172413793104,1.1487829962290024,1.0060240963855422,1.0385572139303483,1.04375,1.0705128205128205,1.0950819672131147,1.1245791245791246,1.1517241379310346,1.1450119986287282,1.0323383084577114,1.0375,1.064102564102564,1.0885245901639344,1.1178451178451179,1.1448275862068966,1.1381556393555021,1.005,1.0307692307692307,1.0544262295081968,1.082828282828283,1.1089655172413793,1.1025025711347274,1.0256410256410255,1.0491803278688525,1.0774410774410774,1.103448275862069,1.0970174837161468,1.022950819672131,1.0505050505050506,1.0758620689655172,1.0695920466232431,1.026936026936027,1.0517241379310345,1.0455947891669524,1.0241379310344827,1.0181693520740487,0.994172094617758
footscray,549000,573250,638331,675000,765000,875500,866500,787250,840500,842000,839000,840000,850500,870000,875000,887500,895000,905000,918000,854500,1.5892531876138434,1.5220235499345836,1.366845727373416,1.2925925925925925,1.1405228758169934,0.9965733866362079,1.006924408540104,1.10828834550651,1.0380725758477096,1.014364640883978,1.0256983240223463,1.0343661971830986,1.0491428571428572,1.0551724137931036,1.0793650793650793,1.0928571428571427,1.0941597139451729,1.0902612826603326,1.011173184357542,1.019718309859155,1.0342857142857143,1.0402298850574712,1.0640799529688418,1.0773809523809523,1.0786650774731823,1.0748218527315914,1.008450704225352,1.022857142857143,1.028735632183908,1.0523221634332744,1.0654761904761905,1.066746126340882,1.0629453681710215,1.0142857142857142,1.0201149425287357,1.043503821281599,1.056547619047619,1.0578069129916567,1.0540380047505937,1.0057471264367817,1.02880658436214,1.0416666666666667,1.0429082240762813,1.0391923990498813,1.0229276895943562,1.0357142857142858,1.0369487485101312,1.0332541567695963,1.0125,1.0137067938021453,1.0100950118764846,1.0011918951132301,0.997624703087886,0.996437054631829
glen iris,1200000,1305500,1480500,1800000,1925000,2016000,1880000,1952500,2120000,2115000,2127500,2185000,2210000,2295000,2316500,2300000,2313000,2313000,2338800,2150000,1.9145833333333333,1.7598621217924166,1.5518405943937859,1.2763888888888888,1.1935064935064934,1.1396329365079365,1.2220744680851063,1.176696542893726,1.0837264150943395,1.011154345006485,1.011154345006485,1.0168695652173914,1.0096265918411396,1.0190849673202615,1.0582805429864253,1.0703890160183067,1.0993184488836663,1.1058156028368795,1.0,1.0056521739130435,0.9984890999352471,1.007843137254902,1.046606334841629,1.0585812356979405,1.0871915393654523,1.0936170212765957,1.0056521739130435,0.9984890999352471,1.007843137254902,1.046606334841629,1.0585812356979405,1.0871915393654523,1.0936170212765957,0.9928771854090223,1.0021786492374727,1.0407239819004526,1.0526315789473684,1.0810810810810811,1.0874704491725768,1.0093681917211328,1.0481900452488688,1.0601830663615561,1.0888366627497061,1.0952718676122932,1.0384615384615385,1.0503432494279177,1.0787309048178613,1.0851063829787233,1.011441647597254,1.0387779083431257,1.044917257683215,1.027027027027027,1.033096926713948,1.0059101654846336
greensborough,490000,534000,572000,632250,715000,830000,815000,795000,848250,850000,850000,866000,875000,899500,907000,923000,930000,936000,960000,835000,1.8433673469387755,1.6914794007490637,1.5791083916083917,1.4286279161724003,1.2632867132867134,1.0882530120481928,1.108282208588957,1.1361635220125785,1.0648393751842027,1.0256410256410255,1.032258064516129,1.0400866738894907,1.0584343991179714,1.0672595886603669,1.0971428571428572,1.1085450346420322,1.1294117647058823,1.1294117647058823,1.0064516129032257,1.0140845070422535,1.031973539140022,1.0405780989438578,1.0697142857142856,1.0808314087759816,1.1011764705882352,1.1011764705882352,1.0075839653304441,1.0253583241455346,1.0339077265147305,1.062857142857143,1.073903002309469,1.0941176470588236,1.0941176470588236,1.017640573318633,1.0261256253474151,1.054857142857143,1.0658198614318706,1.0858823529411765,1.0858823529411765,1.008337965536409,1.0365714285714285,1.0473441108545034,1.0670588235294118,1.0670588235294118,1.028,1.0386836027713626,1.0582352941176472,1.0582352941176472,1.010392609699769,1.0294117647058822,1.0294117647058822,1.0188235294117647,1.0188235294117647,1.0
heidelberg,750000,780000,828000,1055000,1140000,1298000,1107500,1073000,1259150,1180000,1265800,1290000,1300000,1312000,1314000,1320000,1325000,1322500,1335000,1269900,1.7506666666666666,1.6833333333333333,1.5857487922705313,1.2445497630331754,1.1517543859649122,1.0115562403697997,1.1855530474040632,1.2236719478098788,1.042766945955605,1.00945179584121,1.0075471698113208,1.0113636363636365,1.0159817351598173,1.017530487804878,1.0269230769230768,1.0348837209302326,1.0546689840417127,1.13135593220339,0.9981132075471698,1.0018939393939394,1.006468797564688,1.0080030487804879,1.0173076923076922,1.0251937984496124,1.0447938062885131,1.1207627118644068,1.003787878787879,1.008371385083714,1.009908536585366,1.0192307692307692,1.0271317829457365,1.0467688418391532,1.1228813559322033,1.004566210045662,1.0060975609756098,1.0153846153846153,1.0232558139534884,1.0428187707378733,1.11864406779661,1.0015243902439024,1.0107692307692309,1.0186046511627906,1.0380786854163375,1.1135593220338984,1.0092307692307692,1.0170542635658915,1.0364986569758257,1.111864406779661,1.0077519379844961,1.027018486332754,1.1016949152542372,1.0191183441301943,1.0932203389830508,1.0727118644067797
